path	area	relation	forest_sha256	root_sha256	forest_size	root_size	forest_lines	root_lines	root_added_lines	root_deleted_lines	shared_contract_count	root_unique_contract_count	forest_unique_contract_count	forest_parse_status	root_parse_status
apps/web/test/ui-regression.test.mjs	web-test	BIDIRECTIONAL_CONTRACT_DELTA	6ee0dc98fc53c88c3da20617e2a962866fb434c69fc30af2fe70475ea88d4401	f220608867ebbf727d7604df356c9daa69eccfb05b8fd39018f8109573b97aab	151290	142426	2123	2019	49	153	41	1	3	PASS	PASS
docs/lazycodex/evidence/matter-desktop/artifacts/macos-build.md	evidence-doc	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	dbfd27233ed47386dc817395e5773d233f9bef3e60433a9250cd1f85eab4aea3	9c6a7b45af67aeb7b9e81907327827064b6e29a5a8da707fea076b596dd4df68	2819	2814	65	65	5	5	0	0	0	NOT_CODE	NOT_CODE
docs/lazycodex/evidence/matter-web/desktop-web-renderer-asset.md	evidence-doc	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	9c64f95724ce5a0c733eb69da724505680735061fdf5fa7126252f7bccd32a8f	f4e0eed9d0ae18607a4e4715fd5f3caacdf137b4c5ce906ea77b5177ca75ed4f	441	481	19	19	1	1	0	0	0	NOT_CODE	NOT_CODE
packages/authz/src/hrx-sensitive-scopes.js	authz	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	ba92e550407d050ee4a67b2f6008ef9ab13c7b94470ea54022bd5d7e1ba6f610	18c05e0ae4c52e984b1582fac34ea42103064005a5a34da0bea750e6dbb03ea2	2567	2652	68	71	10	7	6	0	0	PASS	PASS
packages/hrx/src/index.js	hrx-runtime	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	138bbf91a735ec90df04e2383a5de723b75aaf299e959090230c135219abc965	9721ecba6717afc4243ca2cf1e714b63fe934036427dcdd1d386637fe73a509d	4451	3196	108	82	4	30	0	0	0	PASS	PASS
packages/hrx/src/leave/accrual-service.js	leave-domain	BIDIRECTIONAL_CONTRACT_DELTA	7e7ae192e40fa819b0e4bb5dccab4731e77246493394c4400cebb2a4c0435a23	85bb4554c7ce37b60369eeb9e54ff1daa98fff831ac42a471f7526aaa2bb8192	41893	50400	671	725	233	179	8	1	3	PASS	PASS
packages/hrx/src/leave/integration-service.js	leave-domain	FOREST_EXTENDS_EXTRACTED_CONTRACT	a7b48315c101bcb50f48523b951dcfab16e1bdcf0f12023eb39e7d6d87f572c7	259fc39870848daaf3eaba6ada0e0604b9788c5db93d71a46240ad8d96e22cbb	29027	19806	593	409	28	212	4	0	1	PASS	PASS
packages/hrx/src/leave/management-service.js	leave-domain	FOREST_EXTENDS_EXTRACTED_CONTRACT	8805c1d0567c934066982e15d266b0eb9a954427ca2677ec45be5b77fd430a77	3af607b2b05a0d8dd33db95cfa26f9cca587c06cee58bec99b6d8899208480e5	78434	78250	1670	1661	74	83	6	0	1	PASS	PASS
packages/hrx/src/leave/policy-service.js	leave-domain	BIDIRECTIONAL_CONTRACT_DELTA	b1b8a3e433f2a2ed92ed7d1f5b2e7537cda029d7eff95d51c90ef9d5b3fedab9	6277badc3563d8e7659e32c5c42cfb0e906d3da3ddaeb0e686224b7bc62a208a	12850	16067	302	362	69	9	1	1	1	PASS	PASS
packages/hrx/src/leave/xlsx-export.js	leave-domain	ROOT_EXTENDS_EXTRACTED_CONTRACT	20762a244a2f063dae95740e73f2bce6c9efa7fd408932d1d34fc2fcc7cdfe78	f55fbcbe3537d0ceefb26f5101a9365c10dd5ade241036c1b5ae29939316bc47	7042	10701	133	207	76	2	1	2	0	PASS	PASS
packages/hrx/src/migrations/index.js	migration	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	9ba6214f68afa56e5f594b96710eae153b583e80baaa49696778770f303007db	7dd3f226430adf216b0d8a0863d5948ae28a2bfd6d041506a2a8aecc42c3fbac	4225	3123	148	112	12	48	9	0	0	PASS	PASS
packages/hrx/src/store/file-store.js	store	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	44eead4f41a1dd3fc4fa6abbcc2ee853395ebb3355d22fec1b71cbd7866c6f09	5e972a5b6e737158cda5a7bbb73a46707c7fbb051c99a2895acb1eafdf3540e3	75305	40608	1281	800	97	578	5	0	0	PASS	PASS
packages/hrx/src/store/port.js	store	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	b5e9c147c051b82a79d979a93b7d5a132e72f96beaca95d829bf2a4a9d036083	ddf374682215c3e3dfbb5411137f6312dbd19db4046d1249d8969439882540b9	3482	2917	116	98	5	23	7	0	0	PASS	PASS
packages/hrx/test/leave-accrual-service.test.js	hrx-test	BIDIRECTIONAL_CONTRACT_DELTA	851ba90ee8ffa74facb0ddbafb1acb5356005fae10bda7a7ccbe02de9f7a0aae	75e1aa5884b06f8c77e4aeb731f0ea4aa6f3bbd3330884fc4e0080e050e89c40	14933	20233	213	303	172	82	9	5	4	PASS	PASS
packages/hrx/test/leave-integration-service.test.js	hrx-test	BIDIRECTIONAL_CONTRACT_DELTA	73033437d2648e7f244826d7a05acab5c9974089b37e15b9aa1279db4c0e5bee	5c8e5ade988c0261441d5e10d510079aed8f1cee0bd2210f063286bbb3263c89	24452	17969	357	238	31	150	11	3	6	PASS	PASS
packages/hrx/test/leave-management-durable.test.js	hrx-test	BIDIRECTIONAL_CONTRACT_DELTA	1770b2253c8f84e0927303d20e9556491b6f87ed8cd794b48ec4c37a28b95489	ecbe0d2602d17254e25fb7da45f2909ac6187dd5544efd62765291c070d4fa86	33547	28374	886	725	48	209	21	2	4	PASS	PASS
packages/hrx/test/migration.test.js	hrx-test	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	b81d3e324aa59083ec18605e640b3872d13e6b43257059c3ef648e723fc0be71	248b46bc5c127e05181d833395236f8dc0a204c8a3a837845c8f85a3999cd1ee	7334	4659	151	110	5	46	9	0	0	PASS	PASS
scripts/build-matter-desktop-mac.mjs	build-script	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	31aebbe03740fcb5e83a103fc24a3666d0fb59f633d0ae1e7f4d25344ae761ee	e1e4d312120e6b7c2e74ea05b0491c27c0cdee7d0faab907a178db9fc419b48b	22836	21518	498	464	6	40	10	0	0	PASS	PASS
scripts/build-matter-desktop-win.mjs	build-script	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	ef7ca6c9b43c6315f9999f3817f305e62adedeb346a590e936285a0c6cbbc4aa	d91e24e78ba3d2073b2af670cea8764d39163b84255f581abb5a0d34165afb63	8475	8461	214	214	1	1	9	0	0	PASS	PASS
scripts/prepare-matter-desktop-web-renderer.mjs	build-script	CONTENT_DELTA_SAME_EXTRACTED_CONTRACT	d6b85370be78bf3ecfa5370606b95a80f140ea722191c22c02006234741b2079	e3abeb71c0580d0ca068c2b987ce4749140d8942d7fbe691a71b9ffeae3bca7c	2073	2113	63	63	1	1	6	0	0	PASS	PASS
scripts/validate-public-renderer-no-hrx-roster-pii.mjs	build-script	IDENTICAL	86f9cbfc8f929b533c803f6cbbb44023edc49f5eaed0f37bd7b1bab6bf018b45	86f9cbfc8f929b533c803f6cbbb44023edc49f5eaed0f37bd7b1bab6bf018b45	3493	3493	70	70	0	0	4	0	0	PASS	PASS
