path,git_status,extension,bytes,git_last_change,age_days,top_folder,folder2,doc_class,candidate_action,reason
artifacts/closeout-pack-claude-review/cp00-859/review-receipt-invalid-attempt-01.json,tracked,.json,1275,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-859/review-receipt-invalid-attempt-02.json,tracked,.json,1394,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-874/invalid-attempts/attempt-01-raw-output.json,tracked,.json,2183,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-874/invalid-attempts/attempt-01-review-receipt.json,tracked,.json,1384,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-881/invalid-attempts/attempt-01-raw-output.json,tracked,.json,2679,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-881/invalid-attempts/attempt-01-record.json,tracked,.json,410,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-881/invalid-attempts/attempt-01-review-receipt.json,tracked,.json,1395,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-895/invalid-attempt-01-raw-output.json,tracked,.json,2602,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
artifacts/closeout-pack-claude-review/cp00-895/invalid-attempt-01-review-receipt.json,tracked,.json,1395,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,EVIDENCE,REVIEW_AFTER_FINAL_RECEIPT,raw or invalid attempt evidence candidate
docs/ai-led-law-firm-os-development-plan.md,tracked,.md,14556,2026-06-19,17,docs,docs/ai-led-law-firm-os-development-plan.md,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/closeout-pack-plan/closeout-pack-plan.json,tracked,.json,2987,2026-06-19,17,docs,docs/closeout-pack-plan,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/closeout-pack-plan/implementation-layer-ledger.json,tracked,.json,449699,2026-06-19,17,docs,docs/closeout-pack-plan,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
docs/closeout-pack-plan/implementation-layer-ledger.md,tracked,.md,119915,2026-06-19,17,docs,docs/closeout-pack-plan,PLANNING_REVIEW,SUPERSEDED_REVIEW,planning/reference doc needs canonical replacement check
