path,git_status,extension,bytes,git_last_change,age_days,top_folder,folder2,is_human_doc,doc_class,candidate_action,reason
artifacts/closeout-pack-claude-review/cp00-181/review-receipt.json,tracked,.json,5098,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,false,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-181/review-request.json,tracked,.json,1110,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,false,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-181/review-schema.json,tracked,.json,2643,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,false,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-181/validation-report.json,tracked,.json,810,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,false,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-182/changed-file-scope.json,tracked,.json,9912,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,false,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-182/prompt.txt,tracked,.txt,2260,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,true,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-182/raw-output.json,tracked,.json,9178,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,false,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-182/readiness-report.json,tracked,.json,1033,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,false,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-182/review-baseline.json,tracked,.json,15264,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,false,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-182/review-packet.md,tracked,.md,690,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,true,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-182/review-receipt.json,tracked,.json,7238,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,false,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-182/review-request.json,tracked,.json,1110,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,false,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-182/review-schema.json,tracked,.json,2643,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,false,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-182/validation-report.json,tracked,.json,810,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,false,EVIDENCE,INDEX_FIRST,closeout or review evidence
artifacts/closeout-pack-claude-review/cp00-183/changed-file-scope.json,tracked,.json,9912,2026-06-19,17,artifacts,artifacts/closeout-pack-claude-review,false,EVIDENCE,INDEX_FIRST,closeout or review evidence
