path	capability	preservation	checkpoint_relation	mode	size	checkpoint_sha256	current_sha256
apps/api/src/hrx-payroll-runtime.js	PAYROLL	PRESERVE_SOURCE	BYTE_IDENTICAL	644	13020	e1bd01f0d1df0967ad1a99667280cabe19826bc1a59283418efb91b4aed3ab7d	e1bd01f0d1df0967ad1a99667280cabe19826bc1a59283418efb91b4aed3ab7d
apps/api/src/hrx-role-scope-matrix.js	AUTH_PROFILE	PRESERVE_SOURCE	BYTE_IDENTICAL	644	2946	3a93ff39dc21e103e6c0e62b180d12c83ad75009a7a9455b709ea811d4e14c7f	3a93ff39dc21e103e6c0e62b180d12c83ad75009a7a9455b709ea811d4e14c7f
apps/api/src/routes/hrx/payroll-runtime.js	PAYROLL	PRESERVE_SOURCE	BYTE_IDENTICAL	644	18658	1e6193f62648dd17428a62ee8cbea3d7f5a2ac756b5bae474cb651604b42ee98	1e6193f62648dd17428a62ee8cbea3d7f5a2ac756b5bae474cb651604b42ee98
apps/api/test/hrx-runtime-api.test.js	PERSISTENCE_AUTHZ_PACKAGE	PRESERVE_TEST	APPROVED_FZ006_STABILIZATION	644	61664	365844a60a6ea0d84bb4d9462b9c1aafca7fbf39f761a146980d8e27c03a6abf	aebdee4c555b3162d9889c2dd13198a7d288756e3caa8b59e2c31fe3106bb6c7
apps/api/test/hrx/hrx-role-scope-matrix.test.js	AUTH_PROFILE	PRESERVE_TEST	BYTE_IDENTICAL	644	5207	39aa41854069f8fb0f9ab4ad675c3b175f1a246efd4ef3a836952e2937189080	39aa41854069f8fb0f9ab4ad675c3b175f1a246efd4ef3a836952e2937189080
apps/api/test/hrx/leave-entitlement-lifecycle-api.test.js	LEAVE	PRESERVE_TEST	BYTE_IDENTICAL	644	12185	3bdca1f33531ca6e8e6e9aa33c4b4aa28143b596c4b7a45b9d9e1545a4f6640f	3bdca1f33531ca6e8e6e9aa33c4b4aa28143b596c4b7a45b9d9e1545a4f6640f
apps/api/test/hrx/leave-integration-api.test.js	LEAVE	PRESERVE_TEST	BYTE_IDENTICAL	644	11392	c00602d35a2a242e70a2a00b7c90eb2b16b8e58c6300fc651ad92d3a6a84958a	c00602d35a2a242e70a2a00b7c90eb2b16b8e58c6300fc651ad92d3a6a84958a
apps/api/test/hrx/leave-promotion-api.test.js	LEAVE	PRESERVE_TEST	BYTE_IDENTICAL	644	11035	4070700463298881e84edb0a3e2b688cbf81d2f23950cb309f3742378221348b	4070700463298881e84edb0a3e2b688cbf81d2f23950cb309f3742378221348b
apps/api/test/hrx/leave-reporting-api.test.js	LEAVE	PRESERVE_TEST	BYTE_IDENTICAL	644	10527	9be3fb8c5b8baec3a06eac321bdf7ec02006dd047584fb87c975bc970d2125ee	9be3fb8c5b8baec3a06eac321bdf7ec02006dd047584fb87c975bc970d2125ee
apps/api/test/hrx/payroll-runtime.test.js	PAYROLL	PRESERVE_TEST	BYTE_IDENTICAL	644	9610	d4f454b5e9e83273c90c16c17acf7b22fc2167cc811e4e7d9e7a243e684d20f2	d4f454b5e9e83273c90c16c17acf7b22fc2167cc811e4e7d9e7a243e684d20f2
